id,date,to,from,size,attachments,content
{X5L7-D1UH90YS-1333JYFH},01/02/2010 07:14:06,Elmo.Brendan.Haynes@dtaa.com,Yeo.Xyla.Garner@dtaa.com,22828,0,motorscooters cantherigerus subpopulation nubila cyclura ircf nubila motorscooters lewisi birps nubila crutchfield lewisi nubila crutchfield gene nubila birps crutchfield pineal cyclura nubila studbook macleayi noegel uva cayman noegel cayman cyclos cyclura nubila nubila cayman pronounced birps and birps crutchfield nubila uric noegel uva cantherigerus cayman wildlife gravid
{B5B5-M3DV33QF-7853QPVE},01/02/2010 07:19:11,Willow.Winifred.Mcgowan@dtaa.com;Fritz.Buckminster.Patton@dtaa.com;Larissa.Lael.Newman@northropgrumman.com,Yeo.Xyla.Garner@dtaa.com,34817,1,thurgot albano chancellor 1096 1102 quadripartitus walkelin magician curthose thurgot 1102 thurgot quadripartitus chantor 1102 1107 warelwast 1108 quadripartitus celibate rome maternus 1096 celibacy gerard celibate malmesbury leges maternus primi language gerard thurgot thurgot 1102 meulan anselm sorcerer quadripartitus warelwast
{H2A7-X4OC46JI-9439LFFL},01/02/2010 07:23:08,Benjamin.Keith.Miranda@dtaa.com,Drake.Ivan.Mejia@dtaa.com,22828,0,champlain guidelines diceman fg colorssvgthe fg redsvgflag kingdomsvgthe courtice canadasvgflag acadian unmistakably hoist fileflag_of_canada_1921svgflag col 01001000 1964svgfirst francesvgflag filecanada diceman george cmyk bourget colorssvgthe filecanadian lunifoli redsvgflag redsvgflag ensignsvg1957 blazon filecanada parchment blurry cyr lis louisxivsvgnew filefrance ensign canadasvgflag pms gilt triband triband fileflag_of_canada_1921svgflag filecanadian february canadasvgcurrent filepavillon colorssvgthe need
{M3V9-M8QG95SQ-6474MTKV},01/02/2010 07:27:12,Lester.Thane.Johns@dtaa.com,Roth.Laith.Pena@dtaa.com,30307,0,machinedrum alexis wrestlers wallzo moog chip arturia 57a wrestling soundsystem jittery album gawler cleland gawler tusmore bridgework tusmore greenhill duobi xiu dingfang adshead melon bianji zhitui piantiwen xianzongs zhongzong 851 folksongs baekje timekeeping goguryeo steelyard xuanwu gilgit guotu from jue status ennin sufala hsia shitong stat_pop350000000 enchin
{J1A7-G4PH28DE-3857TWPE},01/02/2010 07:38:47,Nathan.Igor.Hogan@dtaa.com,Yeo.Xyla.Garner@dtaa.com,23398,3,mortimer squelchy golda summi tardini goldhagens dalins bethmann montini aloisius quirino pacepa wlodimir pascalina sorge gasparri reichskonkordat sanctification maglione nullity vannutelli orientalis maglione montini registry hochhuths immovably eugenio quirino and stupefying greenstein scapinelli ratlines motorcyclists ledochowski tardini katholikentag bishops
{W6K7-X6RG37OR-9201TCPB},01/02/2010 07:39:45,Uriel.Cole.Sharpe@northropgrumman.com,Jessamine.Zelenia.Alvarado@dtaa.com,22828,0,intro magik magik daina frat frusciante arik bowden meim navarro emptinessno meim meim expressthis band ferociously rehab navarro brink kiediss busch sox hank bambino schoendienst ramrez grady 254 varitek varitek ortiz haskett ramrez reggie bullpen 831 15300 erie 166000 vermont santee 166000 22
{U0V6-R3LD51NH-1594SKPB},01/02/2010 07:41:23,Harrison.Alec.Mccormick@dtaa.com,Yeo.Xyla.Garner@dtaa.com,30045,0,benzene cytarabine clofarabine m0 myelos anemia hematopoiesis leukemic myelodysplastic leukemic m3 daunorubicin idarubicin peripheral remission postremission myeloblast myeloblast lymphoblastic curable prognostic myelos leukemias leukemic leukemic monocytic fab mylotarg cytogenetic jh t1517 lymphoblastic velpeau idarubicin leukopenia cytometry t821 esterase mdsmps mdsmps myeloid leukemic myeloperoxidase inv16 schemata leukemic leukemic lymphoid ebstein esterase leukemic township 42114507 waldameer
{Z5I7-Q4VM33WS-1572MYPT},01/02/2010 07:44:26,Calvin.Asher.Nguyen@dtaa.com;Lunea.Stacy.Reed@raytheon.com,Xena.Uma.Gibson@dtaa.com,23398,3,iben touched tupelos stirratt heatseekers acuff coomer coomer heidorn tweedys coomer coomer belzer coomer tweedys mcewen conan bonus clockhammer tweedys commented farrars mcewen heidorn belzer heidorn worthy tupelos stirratt shed tweedys mcewen tweedys farrars spex heidorn 8993 farrars dollar sahms tweedys neil tupelos tupelos farrars farrars song werent lyrics farrars
{T3Y8-O2XG60XM-3450RIKO},01/02/2010 07:45:54,Ryder.Ivan.Bowers@dtaa.com,Roth.Laith.Pena@dtaa.com,42409,0,jd cosponsored poll ehud dcps tort obama stimulus arabiya carper lolo trillion petraeus veltroni dcp usaspendinggov lugar schip sarkozy petraeus retirement warrantless automaker lame several lugar nyanza cbo kisumu yehudah budget blair puzzlement obama nyangoma reauthorization coburn islamabad mars reauthorization starting mnoa menteng ehud bernanke kisumu cosponsored house cell barnhill barak
{Y1R9-X6PV62OA-0331SWNC},01/02/2010 07:46:01,Jaden.Lara.Higgins@dtaa.com;Samuel.Tad.Acevedo@dtaa.com;Iris.Yeo.Frye@dtaa.com,Halee.Morgan.Wilkins@dtaa.com,34817,3,novembrine homeground tenner bush pallot mercer na spotnicks roeg woolrichs bexley tenner fairlight policemans ure chalayan novembre odeon gershwin gadds babooshka fairlight gurdjieff jolie keaton edgemar denzel glaser birthname anacondas stripminer demerits anacondas siegler uncommissioned cibrian lavigne casa stripminer stripminer edgemar messner klute urologic estrellas bhala sensationalizing netzley
{B3E4-G0JG05HE-9770YAMC},01/02/2010 07:48:07,Beck.Cain.Marsh@dtaa.com;Danielle.Quon.Mosley@dtaa.com,Sarah.Penelope.Duffy@dtaa.com,23398,3,tractable scheldt united moyland chambois beveland woensdrecht odlum marmion in trun beveland dieppe beveland tilston chaudires xanten volksgrenadier calvados woensdrecht scie tilly congealed xanten heuvel brigade londe foret platoons dunkirk xanten pourville louvigny chaudires odlum xanten fontenay valcartier concordat maglione sorge dialectics hollweg ratlines seminarium nazism 860000 phayer wlodimir 1876 nunciature iwatani damacy thumbtacks 1080p musha damacy cosmoss adhesive damacy
{A6V8-J3JO52ZP-3151ZDHY},01/02/2010 07:53:51,Constance.Fiona.Bryan@dtaa.com;Christen.Tashya.Rodgers@dtaa.com,Stella.Ursula.Velasquez@dtaa.com,22069,0,thurgot psalter warelwast diocese 1102 quadripartitus dxxiv primacy profession avarice thurgot gerard albano hereford paschal thurgot 1096 gerard quadripartitus albano maternus quadripartitus chantor thurgot 1085 antioch 1105 gerard gerard walkelin gerard thurgot anselm thurgot investiture curthose anselm albano maternus avarice dxxiv precentor of abbot primi gerard precentor meulan anselm meulan thurgot imputed 1101 thurgot france thurgot ranulf 1102 1105 chlothar textus
{E7U3-G2KH18XZ-2120ICRT},01/02/2010 07:55:33,Kirsten.Faith.Drake@dtaa.com,Blossom.Lisandra.Boyer@dtaa.com,21232,0,caudle oregonian whiplash caudle pinkpop affixed beinhorns 1989 dewayne peaked jam slovak fleged crunching atlanta mcknight exuberant urgency rhcp fleged frusciante rhcp fuck shirtless attendees darlin bside kiedis deft mofo caudle backup stevie frusciante bside pinkpop decibels thelonious apter peligro that whiplash beinhorns beinhorns carolan octopus cocaine from vigard fishbone
{T8B3-E5KV62LR-4347UZWT},01/02/2010 07:57:41,Wylie.Keane.Conway@dtaa.com,Hall.Curran.Hood@dtaa.com,23398,0,aeryn farscape browders gateworld stargate sg chiodo sg treme stargate jibes tealc treme 200th tealc oneill dean replace tealc stargate landry stargate chiodo mallozzi chiodo tealc treme treme landry mallozzi vignette browders tealc stargate sg crichton farscape treme treme 1s treme farscape tealc treme tealc mallozzi browders fi treme stargate gateworld stargate browders sg naught
{V1J8-N3NG84SB-7589XKQK},01/02/2010 08:01:50,Harrison.Alec.Mccormick@dtaa.com,Laura.Aspen.Dunlap@dtaa.com,21124,0,floresta nitidus oryzomys macconnelli musser nitidus macconnelli oryzomyini tapirape alisphenoid weksler macconelli aquiri macconnelli viny macconnelli macconnelli euryoryzomys incisor macconnelli subtelocentric foramen euryoryzomys xingu macconelli macconnelli 3589 heaters hypervista heaters 7531 ckfu news subhumid 897 oberle cfrn cknl dawson prairie southbound 11529 dawson ckfu chrx 003 ckfu dawson cbkq yearsmike centreice 10994 rouen maternus curthose quadripartitus windsor gerard bohemond
{X9M1-S3SQ88GP-1675LNTU},01/02/2010 08:02:51,Guy.Quamar.Griffin@dtaa.com;Barclay.Adrian.Weiss@dtaa.com,Jessamine.Zelenia.Alvarado@dtaa.com,23398,3,interplate airdrops microplate pelileo latacunga 14815 ddt intraplate iglesia bringing interplate inhabitants pelileo interplate guano pelileo patate 14815 riobamba pelileo intraplate sucres quito galo pelileo intraplate rexall pillaro pelileo ecuador foreshock libertad pillaro ecuador interplate interplate seismologists foreshock hypocenter galo matriz galo patate pelileo interplate pelileo pelileo galo intraplate interplate rexall intraplate interplate matriz pelileo pelileo interplate pelileo microplate sucres pelileo pelileo
{M3V4-E6PF17RA-0166KIGI},01/02/2010 08:09:24,India.Aurelia.Kirkland@dtaa.com;Cynthia.Inez.Lowe@dtaa.com;Idona.Amela.Frederick@dtaa.com,Xavier.Owen.Huff@dtaa.com,34817,0,ranulf celibate flambard 1096 legate warelwast sorcery flambard psalter anselm walkelin hulton bonestell nichollsclute footer harnesss eagle hulton nichollsclute macleane ketham untempered pinne frieake hardened frieake topiary cutlerian highwayman drayman anatomised thavies dray pugilism deterrent thavies magistrates fabrica cutlerian biogeoclimatic iskut subzones tsunamis iskut cordilleran prindle
{C0B6-X6YY91OI-2387JDMS},01/02/2010 08:10:03,Xander.Yuli.Waller@dtaa.com;Tanya.Wanda.Wise@dtaa.com,Yeo.Xyla.Garner@dtaa.com,22069,1,sausalito dashut 550a sausalito mcvies 550a musikindustrie dashut 1975s fleetwood nobody illusion sausalito babyif mcvies 910000 onoff fleetwood sausalito fleetwood bayh 910000 bundesverband sausalito mcvies sausalito mcvies christine sausalito jenny interpersonal dashut musikindustrie 59000 recrimination mcvies dashut reynalton winterton foxhunting floppy 7406 1107 walkelin scotland bishopric bohemond vow pallium maternus leges thurgot
{H7C0-H9WD05BE-5706PEIQ},01/02/2010 08:12:01,Clementine.Cherokee.Hicks@dtaa.com,Drake.Ivan.Mejia@dtaa.com,21124,0,guiteau garfield us85000 silent mobilier garfield pierson 309 convention trainloads jobholders garfield disastrous sherman mulligan g forwardrc dissenters blaine winfield shiloh grantas incriminatory rest blaine rutherford meteorologists wilkes offshore esperanza antarktik montalva esperanza keystone transantarctic horlick ccamlr ceramists florid ceramists yeshiva cholim minyan loma sternheser lansburghs sessler chesed ucla introduction darfur rabbinic huc huc
{K1Y4-J7GE46GV-4250RENW},01/02/2010 08:12:16,Tanya.Linda.Osborn@sbcglobal.net,Caesar.Zeus.Black@dtaa.com,31060,0,tatlins vhutemas spatial novitskys rodchenko melnikovs 903370 novitskys popova stepanova popova tekhnicheskiye tekhnicheskii vysshiye svomas vkhutemass dcoratifs stepanova tatlins scheper marxism vysshiye malevichs malevichs khudozhestvenno suprematism popova leonidovs abstract popova klutsis tekhnicheskiye popova rodchenko malevichs scheper rodchenko rodchenko stepanova vkhutein stroganov novitskys vitebsk vysshiye vkhutein klutsis vysshiye suprematist architektons rodchenko vkhutemass
{B2Y0-T4EI89CW-0017MOAD},01/02/2010 08:12:31,Leigh.Ina.Merrill@dtaa.com,Karleigh.Gemma.Morales@dtaa.com,22828,0,lenczner a217 charged wandsworth a217 bridgend a3205 ordish a217 wandsworth sightlines a214 wandsworth nearby ordish lefeuvre wandsworth 503000 wandle footbridge lenczner a217 6d a217 drab wandsworth swandon a217 a214 battersea swandon footbridge a214 wandle ordish 503000 lenczner battersea wandsworth pierson watermills a217 swandon ortiz bambino bats shaughnessy schilling ramrez embree taguchi
{S6O2-S5UP38LH-5883PIJT},01/02/2010 08:14:36,Chase.Castor.Rush@dtaa.com;Kylynn.Charde.Ingram@hotmail.com;Mia.Donna.Meadows@bellsouth.net,Elmo.Brendan.Haynes@dtaa.com,31060,0,hj sf tubb 41 quizzes authentic sheldon footer krellig playthings footer deegan krellig krellig nichollsclute bookstalls harnesss hj krellig footer harnesss hj krellig good tubb blackboard nichollsclute digest pence g fonts bradburys nichollsclute krellig tubb reconnoitre nichollsclute nichollsclute nichollsclute nichollsclute tubb deegan sheldon deegan quizzes abysmal deegan harnesss editorship demilles krellig playthings krellig bonestell deegan good campbell projectiles harnesss
{X2O1-C0NP75XM-3530XSRO},01/02/2010 08:16:10,Daniel.Phillip.Bauer@dtaa.com,Pandora.Charity.Mullins@dtaa.com,23398,3,chutzpah vigard apter vigard abused carolan takin slovak fleged hillel chutzpah dhlenenga bobsleigh norefjell slalom hakulinen bobsleigh broekman edstrm wrongdoing wim bronze 1956 othmar amfi feierabend hamar dealership kadettangen downhill broekman dhlenenga torbjrn bobsleigh ski bobsleigh ioc hallgeir frognerseteren rdkleiva falkanger liechtenstein holmstrm
{T5Q1-M2CG31GD-2463DOBX},01/02/2010 08:16:26,Lucy.Anika.Valenzuela@dtaa.com,Yeo.Xyla.Garner@dtaa.com,21232,0,maualuga touchdowns rachal 102nd 3006 2056 lawnswood 2927 3581 2690 2742 woolhouse 2927 2957 woolhouse 3312 3894 3285 4175 296000 3581 wisden 3569 braund season 3925 2730 2730 jessop 7577 kirkheaton 2981 2927 5395 36356 yorkshiremen 4239 eton 1529 kirkheaton 3581 swerve yorkshire 2033 tweedys spex heidorn to received tweedys
{D3E1-D1JY52AF-1555GWKJ},01/02/2010 08:23:42,Maxine.Priscilla.Stewart@dtaa.com;Chastity.Tamara.Fowler@dtaa.com,Blossom.Lisandra.Boyer@dtaa.com,31060,0,5084 ca 0962 eridanus 0039 0962 disk 0014 quillen likelihood k2v 078 879 quillen 22049 31500 009 1018 eridanus exoplanets 0976 observation eridanus 31500 hypothetical 0014 wulff 0317 luyten epsilon dust 078 ly au cocconi epsilon eridanus 5084 cartographer 5084 ergss perturbation occupies ergss draper eridanus cocconi separated galactocentric quillen 0976 by quillen 1021
