user,activity_day,number_of_emails_dispatched,nighttime_email_events,number_of_files_interacted,total_logon_attempts,number_of_night_logons,usb_connection_incidents,employee_full_name_tag,employee_user_id_tag,trait_openness_score,trait_conscientiousness_score,trait_extraversion_score,trait_agreeableness_score,trait_neuroticism_score,weekday_index,is_weekend_day,email_volume_change_1d,logon_variation_1d,logon_rolling_average_7d,logon_to_email_event_ratio,usb_to_logon_ratio,file_to_email_ratio,email_volume_volatility_3d,logon_volatility_3d,unsupervised_anomaly_score,unsupervised_threat_flag,label_predicted_threat
AAC0070,2010-01-04,0.0,0.0,0.0,2.0,0.0,0.0,Anastasia Ava Curry,AAC0070,34.0,45.0,35.0,23.0,37.0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.2032581058634506,0,0
AAC0070,2010-01-05,0.0,0.0,0.0,2.0,0.0,0.0,Anastasia Ava Curry,AAC0070,34.0,45.0,35.0,23.0,37.0,1,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.20829555549649514,0,0
AAC0070,2010-01-06,0.0,0.0,0.0,2.0,0.0,0.0,Anastasia Ava Curry,AAC0070,34.0,45.0,35.0,23.0,37.0,2,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.21014542062318686,0,0
AAC0070,2010-01-07,0.0,0.0,0.0,2.0,0.0,0.0,Anastasia Ava Curry,AAC0070,34.0,45.0,35.0,23.0,37.0,3,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.20926602022255059,0,0
AAC0070,2010-01-08,0.0,0.0,0.0,2.0,0.0,0.0,Anastasia Ava Curry,AAC0070,34.0,45.0,35.0,23.0,37.0,4,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.20399972425805812,0,0
AAC0070,2010-01-11,0.0,0.0,0.0,2.0,0.0,0.0,Anastasia Ava Curry,AAC0070,34.0,45.0,35.0,23.0,37.0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.2032581058634506,0,0
AAC0070,2010-01-12,0.0,0.0,0.0,2.0,0.0,0.0,Anastasia Ava Curry,AAC0070,34.0,45.0,35.0,23.0,37.0,1,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.20829555549649514,0,0
AAC0070,2010-01-13,0.0,0.0,0.0,2.0,0.0,0.0,Anastasia Ava Curry,AAC0070,34.0,45.0,35.0,23.0,37.0,2,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.21014542062318686,0,0
AAC0070,2010-01-14,0.0,0.0,0.0,2.0,0.0,0.0,Anastasia Ava Curry,AAC0070,34.0,45.0,35.0,23.0,37.0,3,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.20926602022255059,0,0
AAC0070,2010-01-15,0.0,0.0,0.0,2.0,0.0,0.0,Anastasia Ava Curry,AAC0070,34.0,45.0,35.0,23.0,37.0,4,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.20399972425805812,0,0
AAC0070,2010-01-18,0.0,0.0,0.0,2.0,0.0,0.0,Anastasia Ava Curry,AAC0070,34.0,45.0,35.0,23.0,37.0,0,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.2032581058634506,0,0
AAC0070,2010-01-19,0.0,0.0,0.0,2.0,0.0,0.0,Anastasia Ava Curry,AAC0070,34.0,45.0,35.0,23.0,37.0,1,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.20829555549649514,0,0
AAC0070,2010-01-20,0.0,0.0,0.0,2.0,0.0,0.0,Anastasia Ava Curry,AAC0070,34.0,45.0,35.0,23.0,37.0,2,0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.21014542062318686,0,0
AAC0070,2010-01-21,0.0,0.0,0.0,1.0,0.0,0.0,Anastasia Ava Curry,AAC0070,34.0,45.0,35.0,23.0,37.0,3,0,0.0,-1.0,1.8571428571428572,1.0,0.0,0.0,0.0,0.5773502691896258,0.16285086418819994,0,0
AAE0190,2010-01-04,14.0,0.0,0.0,0.0,0.0,0.0,August Armando Evans,AAE0190,36.0,30.0,14.0,50.0,29.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04576817662425481,0,0
AAF0535,2010-01-04,3.0,0.0,0.0,0.0,0.0,0.0,Athena Amelia Foreman,AAF0535,17.0,21.0,36.0,33.0,31.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14877694480868492,0,0
AAN0823,2010-01-04,1.0,0.0,0.0,0.0,0.0,0.0,Anthony Aidan Nixon,AAN0823,24.0,16.0,45.0,24.0,28.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14318355402101396,0,0
AAP0946,2010-01-04,0.0,0.0,0.0,3.0,0.0,0.0,Amaya Amy Patterson,AAP0946,37.0,30.0,13.0,35.0,23.0,0,0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.1888989777967689,0,0
AAP0946,2010-01-05,0.0,0.0,0.0,3.0,0.0,0.0,Amaya Amy Patterson,AAP0946,37.0,30.0,13.0,35.0,23.0,1,0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.1960620156934193,0,0
AAP0946,2010-01-06,0.0,0.0,0.0,5.0,0.0,0.0,Amaya Amy Patterson,AAP0946,37.0,30.0,13.0,35.0,23.0,2,0,0.0,2.0,3.6666666666666665,5.0,0.0,0.0,0.0,1.1547005383792517,0.11660893229871805,0,0
AAP0946,2010-01-07,0.0,0.0,0.0,3.0,0.0,0.0,Amaya Amy Patterson,AAP0946,37.0,30.0,13.0,35.0,23.0,3,0,0.0,-2.0,3.5,3.0,0.0,0.0,0.0,1.1547005383792517,0.13990734004742356,0,0
AAP0946,2010-01-08,0.0,0.0,0.0,3.0,0.0,0.0,Amaya Amy Patterson,AAP0946,37.0,30.0,13.0,35.0,23.0,4,0,0.0,0.0,3.4,3.0,0.0,0.0,0.0,1.1547005383792517,0.16974753319952723,0,0
AAP0946,2010-01-11,0.0,0.0,0.0,4.0,0.0,0.0,Amaya Amy Patterson,AAP0946,37.0,30.0,13.0,35.0,23.0,0,0,0.0,1.0,3.5,4.0,0.0,0.0,0.0,0.5773502691896257,0.1537797654090468,0,0
