employee_name,user_id,O,C,E,A,N
Macey Colleen Nash,MCN0973,39,39,41,14,29
Nelle Sharon Cherry,NSC0622,38,35,25,33,35
Kathleen Audrey Vargas,KAV0428,37,35,31,18,31
Adrienne Joelle Mclean,AJM0772,44,30,36,20,25
Nicole Maris Valentine,NMV0507,39,30,21,11,36
Cora Maggy Wise,CMW0297,50,43,25,36,33
Christian James Rutledge,CJR0414,44,17,26,48,24
Keefe Darius Duran,KDD0511,43,26,24,40,26
Akeem Brent Holland,ABH0821,15,35,37,26,30
Benjamin Alec Gutierrez,BAG0190,41,10,14,39,31
Blake Chadwick Vaughan,BCV0304,22,23,27,39,28
Gemma Charlotte Bartlett,GCB0638,42,14,37,16,32
Willa Pearl Kidd,WPK0074,42,46,24,43,32
Ivan Tanek Garrison,ITG0649,10,43,38,29,31
Sharon Montana Barnett,SMB0012,40,39,30,26,31
Cassady Mercedes Bentley,CMB0645,32,30,15,20,28
Eagan Chase Pratt,ECP0997,27,30,23,17,29
Katelyn Cailin Solomon,KCS0524,33,41,40,45,27
Eagan Arthur Holman,EAH0562,50,24,15,10,31
Cameron Jonathan Thomas,CJT0374,20,18,40,34,31
Cole Thaddeus Ellison,CTE0576,30,18,40,48,24
Merrill Neil Bishop,MNB0535,20,40,24,15,41
Maxwell Mason Osborne,MMO0264,34,13,34,40,35
Quemby Summer Barry,QSB0729,47,33,40,42,30
Nola Rinah Melton,NRM0617,41,16,50,25,31
Aiko Candace Brock,ACB0077,43,47,27,24,33
Marsden Paul Wong,MPW0904,39,35,39,43,32
Jackson Prescott Mooney,JPM0871,21,13,36,33,21
Cadman Hop Hayes,CHH0472,18,39,41,35,32
Vivian Jenette Peters,VJP0518,42,41,43,22,36
Melvin Isaac Nixon,MIN0513,37,26,14,41,33
Caleb Ezra Weber,CEW0539,23,36,19,43,25
Suki Noelle Savage,SNS0094,43,42,21,16,35
Basia Lara Lloyd,BLL0527,49,37,42,21,26
Nicholas Edward Emerson,NEE0521,35,46,33,47,33
Willa Lara Marshall,WLM0450,42,47,19,27,38
Sage Hilda Woodard,SHW0774,50,44,44,13,27
Amber Shannon Sawyer,ASS0611,34,39,37,16,29
Madaline Alisa Bond,MAB0267,41,36,43,20,28
Roth Isaac Dyer,RID0019,21,10,13,42,35
Robin Charlotte Hinton,RCH0166,24,17,39,24,27
James Sean Winters,JSW0862,12,42,27,18,31
Nathan Igor Hogan,NIH0093,44,36,10,46,34
Simone Amber Owens,SAO0920,14,43,36,17,23
Nicholas Keane Barlow,NKB0036,34,41,19,32,27
Maryam Althea Bird,MAB0066,36,32,20,32,30
Madaline Pamela Mcknight,MPM0060,38,35,36,26,21
Tashya Adria Fowler,TAF0700,32,38,48,17,33
Megan Brynn Snyder,MBS0355,34,43,30,11,24
Cherokee Athena Horn,CAH0554,37,37,24,14,27
Allegra Mia Pierce,AMP0662,45,45,17,19,28
Ciaran Casey Fuller,CCF0877,22,22,14,13,30
Scarlett Kerry Charles,SKC0670,43,45,19,39,27
Damon Hyatt Boyle,DHB0696,39,14,38,19,28
Shad Prescott Best,SPB0408,19,40,21,19,30
Graham Neville Davis,GND0780,15,10,18,40,14
Sybil Eliana Britt,SEB0150,31,48,23,37,29
Joy Quon Justice,JQJ0479,38,37,42,13,34
Vaughan Xerxes Anderson,VXA0673,36,47,18,45,31
Erich Addison Le,EAL0240,35,46,16,49,17
Mariam Roary Jacobs,MRJ0321,42,45,42,20,24
Hakeem Walter Bond,HWB0420,46,44,16,42,29
Carson Quinn Peters,CQP0232,38,13,10,41,29
Ria Alice Rivas,RAR0927,39,48,45,16,27
Aidan Hilel Morton,AHM0091,46,30,34,35,27
Holmes Troy Burnett,HTB0658,43,10,24,19,31
Kai Susan Chaney,KSC0255,35,34,38,36,30
Amanda Beatrice Wall,ABW0271,17,23,40,22,23
Thomas Jacob Booth,TJB0250,43,44,22,37,31
Yvonne Desiree Gutierrez,YDG0180,23,20,31,19,29
Demetrius Armando Lara,DAL0189,29,18,26,16,36
Cameran Sheila Conrad,CSC0581,16,14,30,16,40
Edward Hu Pickett,EHP0795,42,49,20,15,27
Reagan Shafira Castaneda,RSC0642,39,37,42,17,18
Chancellor Lee Ratliff,CLR0460,10,34,21,36,33
Ruth Daphne Carver,RDC0283,22,33,20,13,25
Myra Casey Lambert,MCL0139,18,35,12,18,33
Ursula Quail Robbins,UQR0361,42,23,41,17,39
Hammett Robert Herrera,HRH0272,47,19,14,40,30
Nicholas Jason Potter,NJP0752,23,15,16,11,32
Velma Marah Torres,VMT0475,22,24,38,15,22
Serina Idola Douglas,SID0429,20,18,45,25,33
Zelenia Neve Snider,ZNS0213,43,38,35,25,27
Bert Beau Sloan,BBS0474,34,20,19,26,34
Herrod Stewart Monroe,HSM0330,43,20,17,22,35
Palmer Ahmed Sutton,PAS0349,19,15,25,30,40
Chaney Sean Fuentes,CSF0929,38,35,39,47,28
Ashton Lucius Mccarty,ALM0073,41,22,20,13,43
Grace Victoria Cummings,GVC0621,47,41,21,21,26
Simone Vielka Peck,SVP0644,38,39,20,21,32
Xena Uma Gibson,XUG0327,34,50,41,12,31
Glenna Leah Holman,GLH0154,40,35,21,48,31
Gisela Kelsie Yates,GKY0171,20,22,40,29,30
Jaquelyn Rebekah Valenzuela,JRV0778,37,40,41,22,31
Wanda Irene Frazier,WIF0497,48,37,34,12,27
Tucker William Mosley,TWM0306,40,15,50,17,23
Todd Amir Cote,TAC0270,13,16,18,18,31
Xenos Benjamin Byers,XBB0890,40,18,44,39,21
Imani Doris Meyer,IDM0326,41,35,45,38,27
Cherokee Germane Stokes,CGS0138,39,42,37,18,34
Thane Chaney Franklin,TCF0052,16,18,36,26,28
Isaiah Hyatt Talley,IHT0597,49,23,39,23,24
Len Zachery Vaughn,LZV0162,47,20,46,47,32
Graiden Tanek Christensen,GTC0331,10,38,26,40,31
Selma Shana Haley,SSH0937,31,35,16,17,26
Althea Myra Hamilton,AMH0857,30,38,35,42,28
Bruno Eric Kim,BEK0623,23,10,17,23,27
Kibo Burke Camacho,KBC0531,23,17,25,37,25
Drew Ezra Walsh,DEW0770,24,23,27,33,31
Jemima Jane Park,JJP0687,42,43,32,36,32
Hunter Flynn Pope,HFP0394,25,41,45,36,36
Yetta Chava Harvey,YCH0796,35,42,21,21,28
Anne Zia Hawkins,AZH0595,43,37,48,22,27
Cassandra Francesca Buchanan,CFB0034,46,40,16,16,27
Maia Paloma Long,MPL0185,30,43,15,38,23
Damon Rashad Weaver,DRW0195,35,19,11,43,31
Emerald Bree Hart,EBH0612,39,43,25,18,25
Hiram Jasper Velez,HJV0721,21,37,23,34,26
Nyssa Zephr Tyler,NZT0335,20,17,43,23,37
Danielle Ila Benson,DIB0207,43,44,43,18,25
Damon Emerson Shelton,DES0075,40,23,10,19,33
Laura Aspen Dunlap,LAD0514,45,44,47,17,29
Iliana Ruth Foley,IRF0054,36,34,18,42,33
Suki Daria Puckett,SDP0142,33,32,20,48,24
Cynthia Cheyenne Melton,CCM0822,40,43,12,35,23
Jonathan Gary Casey,JGC0105,39,18,39,22,18
Baxter Knox Mejia,BKM0492,36,24,38,36,36
Hakeem Herman Buck,HHB0156,18,30,25,29,22
Oscar Reece Cote,ORC0489,20,14,21,22,26
Aline Vanna Rojas,AVR0566,21,36,20,29,19
Kasper Zeph Moran,KZM0791,20,35,21,46,39
Janna Aretha Woodward,JAW0003,21,21,35,20,28
Madeson Chanda Foley,MCF0456,19,23,45,47,31
Giselle Shellie Barnett,GSB0575,17,11,35,29,30
Dante Elmo Weber,DEW0544,34,24,38,40,28
Kyla Katelyn Calhoun,KKC0234,38,43,41,22,33
Octavius Ulric Sexton,OUS0309,30,27,19,16,21
Harrison Alec Mccormick,HAM0510,25,13,10,30,38
Raphael Jarrod Hammond,RJH0445,18,24,35,36,31
Brian Jesse Gentry,BJG0120,42,14,17,35,32
Chastity Shaine Floyd,CSF0671,47,28,43,15,27
Carl Scott Hooper,CSH0056,34,21,12,15,31
Nash Derek Alford,NDA0686,25,42,25,43,32
Abigail Rylee Bean,ARB0002,32,39,35,35,26
Rudyard Drake Hampton,RDH0439,25,20,26,41,26
Hyacinth Hanae Leonard,HHL0126,40,37,28,39,30
Aaron Dolan Hill,ADH0427,18,16,17,44,24
Giacomo Hamilton Giles,GHG0667,48,23,41,39,32
Cassady Riley Alvarez,CRA0098,45,40,41,18,28
