user,total_emails_sent,total_files_accessed,total_logon_sessions,total_usb_activities,user_employee_full_name,user_unique_identifier,personality_trait_openness,personality_trait_conscientiousness,personality_trait_extraversion,personality_trait_agreeableness,personality_trait_neuroticism,anomaly_score,isolation_forest_threat_label
AAC0070,0.0,0.0,690.0,0.0,Anastasia Ava Curry,AAC0070,34,45,35,23,37,0.157078469311133,0
AAE0190,4711.0,0.0,0.0,0.0,August Armando Evans,AAE0190,36,30,14,50,29,0.07340188572346418,0
AAF0535,480.0,0.0,0.0,0.0,Athena Amelia Foreman,AAF0535,17,21,36,33,31,0.1469555199630745,0
AAF0791,3012.0,0.0,0.0,0.0,Aladdin Abraham Foley,AAF0791,14,40,40,50,34,0.051251561274723634,0
AAL0706,336.0,0.0,0.0,0.0,April Alika Levy,AAL0706,37,14,28,13,25,0.1343233599350369,0
AAM0658,659.0,0.0,0.0,0.0,Abel Adam Morton,AAM0658,43,35,37,36,22,0.14477175865798192,0
AAN0823,339.0,0.0,0.0,0.0,Anthony Aidan Nixon,AAN0823,24,16,45,24,28,0.13714026288367437,0
AAP0946,0.0,0.0,1185.0,0.0,Amaya Amy Patterson,AAP0946,37,30,13,35,23,0.1113818226597546,0
AAR0716,0.0,0.0,993.0,0.0,Amir August Roy,AAR0716,43,18,44,30,34,0.13184562066698613,0
AAS0442,145.0,0.0,0.0,0.0,Amal Alexander Shelton,AAS0442,36,43,22,22,31,0.16987986387053722,0
AAS0850,0.0,4613.0,963.0,686.0,Alfreda Aline Sweeney,AAS0850,15,22,34,22,40,-0.0015028657033131498,1
AAV0450,336.0,0.0,0.0,0.0,Aspen Amber Vinson,AAV0450,44,24,36,41,33,0.1584496531133281,0
AAW0353,1000.0,0.0,0.0,0.0,Armando Albert Walter,AAW0353,49,45,19,25,34,0.13562170501437348,0
ABC0174,4239.0,0.0,0.0,0.0,Allegra Bree Coffey,ABC0174,15,41,34,13,32,0.06302170941720076,0
ABC0253,3015.0,0.0,0.0,0.0,Alec Boris Chase,ABC0253,21,15,41,30,28,0.1239003609039957,0
ABG0865,0.0,0.0,1680.0,0.0,Anthony Bruce Graham,ABG0865,46,36,18,38,42,0.05552631749288084,0
